Tesla K80,3.7,3.7
Tesla K40,3.5,3.5
Tesla K20,3.5,3.5
Tesla C2075,2.0
Tesla C2050/C2070,2.0
Tesla T4,7.5
Tesla V100,7.0
Tesla P100,6.0
Tesla P40,6.1
Tesla P4,6.1
Tesla M60,5.2
Tesla M40,5.2
Tesla K10,3.0
Quadro RTX 8000,7.5
Quadro RTX 6000,7.5
Quadro RTX 5000,7.5
Quadro RTX 4000,7.5
Quadro GV100,7.0
Quadro GP100,6.0
Quadro P6000,6.1
Quadro P5000,6.1,6.1
Quadro P4000,6.1,6.1
Quadro P2000,6.1
Quadro P1000,6.1
Quadro P600,6.1
Quadro P400,6.1
Quadro M6000 24GB,5.2
Quadro M6000,5.2
Quadro K6000,3.5
Quadro M5000,5.2
Quadro K5200,3.5
Quadro K5000,3.0
Quadro M4000,5.2
Quadro K4200,3.0
Quadro K4000,3.0
Quadro M2000,5.2
Quadro K2200,3.0
Quadro K2000,3.0
Quadro K2000D,3.0
Quadro K1200,5.0
Quadro K620,5.0
Quadro K600,3.0
Quadro K420,3.0
Quadro 410,3.0
Quadro Plex 7000,2.0
Quadro P5200,6.1
Quadro P4200,6.1
Quadro P3200,6.1
Quadro P3000,6.1
Quadro M5500M,5.2
Quadro M2200,5.2
Quadro M1200,5.0
Quadro M620,5.2
Quadro M520,5.0
Quadro K6000M,3.0
Quadro K5200M,3.0
Quadro K5100M,3.0
Quadro M5000M,5.0
Quadro K500M,3.0
Quadro K4200M,3.0
Quadro K4100M,3.0
Quadro M4000M,5.0
Quadro K3100M,3.0
Quadro M3000M,5.0
Quadro K2200M,3.0
Quadro K2100M,3.0
Quadro M2000M,5.0
Quadro K1100M,3.0
Quadro M1000M,5.0
Quadro K620M,5.0
Quadro K610M,3.5
Quadro M600M,5.0
Quadro K510M,3.5
Quadro M500M,5.0
NVIDIA NVS 810,5.0
NVIDIA NVS 510,3.0
NVIDIA NVS 315,2.1
NVIDIA NVS 310,2.1
NVS 5400M,2.1
NVS 5200M,2.1
NVS 4200M,2.1
NVIDIA TITAN RTX,7.5
Geforce RTX 2080 Ti,7.5
Geforce RTX 2080,7.5,7.5
Geforce RTX 2070,7.5,7.5
Geforce RTX 2060,7.5,7.5
NVIDIA TITAN V,7.0
NVIDIA TITAN Xp,6.1
NVIDIA TITAN X,6.1
GeForce GTX 1080 Ti,6.1
GeForce GTX 1080,6.1,6.1
GeForce GTX 1070,6.1,6.1
GeForce GTX 1060,6.1,6.1
GeForce GTX 1050,6.1
GeForce GTX TITAN X,5.2
GeForce GTX TITAN Z,3.5
GeForce GTX TITAN Black,3.5
GeForce GTX TITAN,3.5
GeForce GTX 980 Ti,5.2
GeForce GTX 980,5.2,5.2
GeForce GTX 970,5.2
GeForce GTX 960,5.2
GeForce GTX 950,5.2
GeForce GTX 780 Ti,3.5
GeForce GTX 780,3.5
GeForce GTX 770,3.0
GeForce GTX 760,3.0
GeForce GTX 750 Ti,5.0
GeForce GTX 750,5.0
GeForce GTX 690,3.0
GeForce GTX 680,3.0
GeForce GTX 670,3.0
GeForce GTX 660 Ti,3.0
GeForce GTX 660,3.0
GeForce GTX 650 Ti BOOST,3.0
GeForce GTX 650 Ti,3.0
GeForce GTX 650,3.0
GeForce GTX 560 Ti,2.1
GeForce GTX 550 Ti,2.1
GeForce GTX 460,2.1
GeForce GTS 450,2.1,2.1
GeForce GTX 590,2.0
GeForce GTX 580,2.0
GeForce GTX 570,2.0
GeForce GTX 480,2.0
GeForce GTX 470,2.0
GeForce GTX 465,2.0
GeForce GT 740,3.0
GeForce GT 730,3.5,2.1
GeForce GT 720,3.5
GeForce GT 705,3.5
GeForce GT 640 (GDDR5),3.5
GeForce GT 640,2.1
GeForce GT 630,2.1
GeForce GT 620,2.1
GeForce GT 610,2.1
GeForce GT 520,2.1
GeForce GT 440,2.1,2.1
GeForce GT 430,2.1,2.1
GeForce GTX 980M,5.2
GeForce GTX 970M,5.2
GeForce GTX 965M,5.2
GeForce GTX 960M,5.0
GeForce GTX 950M,5.0
GeForce 940M,5.0
GeForce 930M,5.0
GeForce 920M,3.5
GeForce 910M,5.2
GeForce GTX 880M,3.0
GeForce GTX 870M,3.0
GeForce GTX 860M,5.0
GeForce GTX 850M,5.0
GeForce 840M,5.0
GeForce 830M,5.0
GeForce 820M,2.1
GeForce 800M,2.1
GeForce GTX 780M,3.0
GeForce GTX 770M,3.0
GeForce GTX 765M,3.0
GeForce GTX 760M,3.0
GeForce GTX 680MX,3.0
